"['Corticotropin', 'protamine']","['Chemical', 'conj', 'compound', 'Chemical']"
"['Corticotropin', 'protamine']","['Chemical', 'conj', 'compound', 'Chemical']"
"['Corticotropin', 'protamine']","['Chemical', 'conj', 'compound', 'Chemical']"
"['methylcholanthrene', 'dibenzanthracene']","['Chemical', 'conj', 'Chemical']"
"['methylcholanthrene', 'dibenzanthracene']","['Chemical', 'conj', 'Chemical']"
"['methylcholanthrene', 'dibenzanthracene']","['Chemical', 'conj', 'Chemical']"
"['ascorbic_acid', 'thiamine']","['Chemical', 'conj', 'Chemical']"
"['lysine', 'methionine']","['Chemical', 'conj', 'Chemical']"
"['creatinine', 'vitamin_E']","['Chemical', 'prep', 'pobj', 'nmod', 'Chemical']"
"['creatinine', 'vitamin_E']","['Chemical', 'prep', 'pobj', 'nmod', 'Chemical']"
"['vitamin_B12', 'choline']","['Chemical', 'prep', 'pobj', 'prep', 'pobj', 'Chemical']"
"['vitamin_B12', 'choline']","['Chemical', 'prep', 'pobj', 'prep', 'pobj', 'Chemical']"
"['lycopene', 'carotene']","['Chemical', 'prep', 'ROOT', 'conj', 'prep', 'pobj', 'prep', 'pobj', 'Chemical']"
"['lycopene', 'carotene']","['Chemical', 'prep', 'ROOT', 'conj', 'prep', 'pobj', 'prep', 'pobj', 'Chemical']"
"['lycopene', 'carotene']","['Chemical', 'prep', 'ROOT', 'conj', 'prep', 'pobj', 'prep', 'pobj', 'Chemical']"
"['cobalt', 'vitamin_B12']","['Chemical', 'amod', 'pobj', 'prep', 'ROOT', 'relcl', 'dobj', 'Chemical']"
"['cobalt', 'vitamin_B12']","['Chemical', 'amod', 'pobj', 'prep', 'ROOT', 'relcl', 'dobj', 'Chemical']"
"['calcium', 'lactate']","['Chemical', 'prep', 'ROOT', 'prep', 'pobj', 'Chemical']"
"['calcium', 'gluconate']","['Chemical', 'prep', 'ROOT', 'prep', 'pobj', 'conj', 'Chemical']"
"['calcium', 'sulfate']","['Chemical', 'prep', 'ROOT', 'prep', 'pobj', 'conj', 'conj', 'Chemical']"
"['calcium', 'carbonate']","['Chemical', 'prep', 'ROOT', 'prep', 'pobj', 'conj', 'conj', 'conj', 'amod', 'Chemical']"
"['lactate', 'gluconate']","['Chemical', 'conj', 'Chemical']"
"['lactate', 'sulfate']","['Chemical', 'conj', 'conj', 'Chemical']"
"['lactate', 'carbonate']","['Chemical', 'conj', 'conj', 'conj', 'amod', 'Chemical']"
"['gluconate', 'sulfate']","['Chemical', 'conj', 'Chemical']"
"['gluconate', 'carbonate']","['Chemical', 'conj', 'conj', 'amod', 'Chemical']"
"['sulfate', 'carbonate']","['Chemical', 'conj', 'amod', 'Chemical']"
"['calcium', 'lactate']","['Chemical', 'prep', 'ROOT', 'prep', 'pobj', 'Chemical']"
"['calcium', 'gluconate']","['Chemical', 'prep', 'ROOT', 'prep', 'pobj', 'conj', 'Chemical']"
"['calcium', 'sulfate']","['Chemical', 'prep', 'ROOT', 'prep', 'pobj', 'conj', 'conj', 'Chemical']"
"['calcium', 'carbonate']","['Chemical', 'prep', 'ROOT', 'prep', 'pobj', 'conj', 'conj', 'conj', 'amod', 'Chemical']"
"['lactate', 'gluconate']","['Chemical', 'conj', 'Chemical']"
"['lactate', 'sulfate']","['Chemical', 'conj', 'conj', 'Chemical']"
"['lactate', 'carbonate']","['Chemical', 'conj', 'conj', 'conj', 'amod', 'Chemical']"
"['gluconate', 'sulfate']","['Chemical', 'conj', 'Chemical']"
"['gluconate', 'carbonate']","['Chemical', 'conj', 'conj', 'amod', 'Chemical']"
"['sulfate', 'carbonate']","['Chemical', 'conj', 'amod', 'Chemical']"
"['calcium', 'lactate']","['Chemical', 'prep', 'ROOT', 'prep', 'pobj', 'Chemical']"
"['calcium', 'gluconate']","['Chemical', 'prep', 'ROOT', 'prep', 'pobj', 'conj', 'Chemical']"
"['calcium', 'sulfate']","['Chemical', 'prep', 'ROOT', 'prep', 'pobj', 'conj', 'conj', 'Chemical']"
"['lactate', 'gluconate']","['Chemical', 'conj', 'Chemical']"
"['lactate', 'sulfate']","['Chemical', 'conj', 'conj', 'Chemical']"
"['gluconate', 'sulfate']","['Chemical', 'conj', 'Chemical']"
"['calcium', 'lactate']","['Chemical', 'prep', 'ROOT', 'prep', 'pobj', 'Chemical']"
"['calcium', 'gluconate']","['Chemical', 'prep', 'ROOT', 'prep', 'pobj', 'conj', 'Chemical']"
"['lactate', 'gluconate']","['Chemical', 'conj', 'Chemical']"
"['calcium', 'lactate']","['Chemical', 'prep', 'ROOT', 'prep', 'pobj', 'Chemical']"
"['niacin', 'tryptophan']","['Chemical', 'nmod', 'Chemical']"
"['niacin', 'tryptophan']","['Chemical', 'nmod', 'Chemical']"
"['niacin', 'tryptophan']","['Chemical', 'nmod', 'Chemical']"
"['niacin', 'tryptophan']","['Chemical', 'nmod', 'Chemical']"
"['pyridoxal', 'pyridoxamine']","['Chemical', 'conj', 'Chemical']"
"['pyridoxal', 'pyridoxine']","['Chemical', 'conj', 'conj', 'Chemical']"
"['pyridoxamine', 'pyridoxine']","['Chemical', 'conj', 'Chemical']"
"['pyridoxal', 'pyridoxamine']","['Chemical', 'conj', 'Chemical']"
"['trimethadione', 'tridione']","['Chemical', 'appos', 'Chemical']"
"['11_hydroxy_cardiac_steroids', 'cortisone']","['Chemical', 'prep', 'ROOT', 'prep', 'pobj', 'conj', 'Chemical']"
"['thyroxin', '6_n_propyl_2_thiouracil']","['Chemical', 'conj', 'conj', 'Chemical']"
"['penicillin', 'hexamine']","['Chemical', 'pobj', 'prep', 'pobj', 'prep', 'pobj', 'Chemical']"
"['2:3_dimercaptopropanol', 'dimercaprol']","['Chemical', 'appos', 'Chemical']"
"['ether', 'cyclopropane']","['Chemical', 'conj', 'Chemical']"
"['histamine', 'histamine']","['Chemical', 'conj', 'compound', 'Chemical']"
"['histamine', 'leukotaxine']","['Chemical', 'conj', 'conj', 'Chemical']"
"['histamine', 'histamine']","['Chemical', 'conj', 'compound', 'Chemical']"
"['histamine', 'leukotaxine']","['Chemical', 'conj', 'conj', 'Chemical']"
"['histamine', 'histamine']","['Chemical', 'conj', 'compound', 'Chemical']"
"['carbon_monoxide', 'nitrogen']","['Chemical', 'conj', 'Chemical']"
"['amine', 'noradrenaline']","['Chemical', 'pobj', 'prep', 'pobj', 'prep', 'pobj', 'Chemical']"
"['amine', 'adrenaline']","['Chemical', 'pobj', 'prep', 'pobj', 'prep', 'pobj', 'prep', 'pobj', 'compound', 'compound', 'Chemical']"
"['amine', 'noradrenaline']","['Chemical', 'pobj', 'prep', 'pobj', 'prep', 'pobj', 'prep', 'pobj', 'compound', 'Chemical']"
"['noradrenaline', 'adrenaline']","['Chemical', 'prep', 'pobj', 'compound', 'compound', 'Chemical']"
"['noradrenaline', 'noradrenaline']","['Chemical', 'prep', 'pobj', 'compound', 'Chemical']"
"['adrenaline', 'noradrenaline']","['Chemical', 'compound', 'Chemical']"
"['amine', 'noradrenaline']","['Chemical', 'pobj', 'prep', 'pobj', 'prep', 'pobj', 'Chemical']"
"['amine', 'adrenaline']","['Chemical', 'pobj', 'prep', 'pobj', 'prep', 'pobj', 'prep', 'pobj', 'compound', 'compound', 'Chemical']"
"['noradrenaline', 'adrenaline']","['Chemical', 'prep', 'pobj', 'compound', 'compound', 'Chemical']"
"['amine', 'noradrenaline']","['Chemical', 'pobj', 'prep', 'pobj', 'prep', 'pobj', 'Chemical']"
"['ephedrine', 'amylocaine']","['Chemical', 'prep', 'nsubj', 'ROOT', 'Chemical']"
"['ephedrine', 'cocaine']","['Chemical', 'prep', 'nsubj', 'ROOT', 'conj', 'Chemical']"
"['ephedrine', 'adrenaline']","['Chemical', 'prep', 'nsubj', 'ROOT', 'conj', 'prep', 'pobj', 'Chemical']"
"['ephedrine', 'noradrenaline']","['Chemical', 'prep', 'nsubj', 'ROOT', 'conj', 'prep', 'pobj', 'conj', 'Chemical']"
"['ephedrine', '3:4_dihydroxynorephedrine']","['Chemical', 'prep', 'nsubj', 'ROOT', 'conj', 'prep', 'pobj', 'conj', 'conj', 'Chemical']"
"['amylocaine', 'cocaine']","['Chemical', 'conj', 'Chemical']"
"['amylocaine', 'adrenaline']","['Chemical', 'conj', 'prep', 'pobj', 'Chemical']"
"['amylocaine', 'noradrenaline']","['Chemical', 'conj', 'prep', 'pobj', 'conj', 'Chemical']"
"['amylocaine', '3:4_dihydroxynorephedrine']","['Chemical', 'conj', 'prep', 'pobj', 'conj', 'conj', 'Chemical']"
"['cocaine', 'adrenaline']","['Chemical', 'prep', 'pobj', 'Chemical']"
"['cocaine', 'noradrenaline']","['Chemical', 'prep', 'pobj', 'conj', 'Chemical']"
"['cocaine', '3:4_dihydroxynorephedrine']","['Chemical', 'prep', 'pobj', 'conj', 'conj', 'Chemical']"
"['adrenaline', 'noradrenaline']","['Chemical', 'conj', 'Chemical']"
"['adrenaline', '3:4_dihydroxynorephedrine']","['Chemical', 'conj', 'conj', 'Chemical']"
"['noradrenaline', '3:4_dihydroxynorephedrine']","['Chemical', 'conj', 'Chemical']"
"['ephedrine', 'amylocaine']","['Chemical', 'prep', 'nsubj', 'ROOT', 'Chemical']"
"['ephedrine', 'cocaine']","['Chemical', 'prep', 'nsubj', 'ROOT', 'conj', 'Chemical']"
"['ephedrine', 'adrenaline']","['Chemical', 'prep', 'nsubj', 'ROOT', 'conj', 'prep', 'pobj', 'Chemical']"
"['ephedrine', 'noradrenaline']","['Chemical', 'prep', 'nsubj', 'ROOT', 'conj', 'prep', 'pobj', 'conj', 'Chemical']"
"['amylocaine', 'cocaine']","['Chemical', 'conj', 'Chemical']"
"['amylocaine', 'adrenaline']","['Chemical', 'conj', 'prep', 'pobj', 'Chemical']"
"['amylocaine', 'noradrenaline']","['Chemical', 'conj', 'prep', 'pobj', 'conj', 'Chemical']"
"['cocaine', 'adrenaline']","['Chemical', 'prep', 'pobj', 'Chemical']"
"['cocaine', 'noradrenaline']","['Chemical', 'prep', 'pobj', 'conj', 'Chemical']"
"['adrenaline', 'noradrenaline']","['Chemical', 'conj', 'Chemical']"
"['ephedrine', 'amylocaine']","['Chemical', 'prep', 'nsubj', 'ROOT', 'Chemical']"
"['ephedrine', 'cocaine']","['Chemical', 'prep', 'nsubj', 'ROOT', 'conj', 'Chemical']"
"['ephedrine', 'adrenaline']","['Chemical', 'prep', 'nsubj', 'ROOT', 'conj', 'prep', 'pobj', 'Chemical']"
"['amylocaine', 'cocaine']","['Chemical', 'conj', 'Chemical']"
"['amylocaine', 'adrenaline']","['Chemical', 'conj', 'prep', 'pobj', 'Chemical']"
"['cocaine', 'adrenaline']","['Chemical', 'prep', 'pobj', 'Chemical']"
"['ephedrine', 'amylocaine']","['Chemical', 'prep', 'nsubj', 'ROOT', 'Chemical']"
"['ephedrine', 'cocaine']","['Chemical', 'prep', 'nsubj', 'ROOT', 'conj', 'Chemical']"
"['amylocaine', 'cocaine']","['Chemical', 'conj', 'Chemical']"
"['ephedrine', 'amylocaine']","['Chemical', 'prep', 'nsubj', 'ROOT', 'Chemical']"
"['penicillin', 'dextrose']","['Chemical', 'compound', 'Chemical']"
"['vitamin_B12', 'fructose']","['Chemical', 'prep', 'pobj', 'amod', 'Chemical']"
"['vitamin_B12', 'fructose']","['Chemical', 'prep', 'pobj', 'amod', 'Chemical']"
"['cortisone', 'benzpyrene']","['Chemical', 'prep', 'pobj', 'compound', 'Chemical']"
"['cortisone', 'benzpyrene']","['Chemical', 'prep', 'pobj', 'compound', 'Chemical']"
"['p_carboxybenzol_sulfo_di_N_butylamide', 'penicillin']","['Chemical', 'ROOT', 'prep', 'pobj', 'prep', 'pobj', 'Chemical']"
"['sulfonamides', 'cortisone']","['Chemical', 'conj', 'conj', 'conj', 'conj', 'Chemical']"
"['sulfonamides', 'cortisone']","['Chemical', 'conj', 'conj', 'conj', 'conj', 'Chemical']"
"['Penicillin', 'gangrene']","['Chemical', 'ROOT', 'prep', 'pobj', 'Chemical']"
"['tryptophan', 'leucine']","['Chemical', 'conj', 'Chemical']"
"['tryptophan', 'valine']","['Chemical', 'conj', 'conj', 'Chemical']"
"['tryptophan', 'caseine']","['Chemical', 'prep', 'pobj', 'prep', 'pobj', 'Chemical']"
"['leucine', 'valine']","['Chemical', 'conj', 'Chemical']"
"['leucine', 'caseine']","['Chemical', 'pobj', 'prep', 'pobj', 'prep', 'pobj', 'Chemical']"
"['valine', 'caseine']","['Chemical', 'conj', 'pobj', 'prep', 'pobj', 'prep', 'pobj', 'Chemical']"
"['tryptophan', 'leucine']","['Chemical', 'conj', 'Chemical']"
"['tryptophan', 'valine']","['Chemical', 'conj', 'conj', 'Chemical']"
"['leucine', 'valine']","['Chemical', 'conj', 'Chemical']"
"['tryptophan', 'leucine']","['Chemical', 'conj', 'Chemical']"
"['saccharides', 'alcohols']","['Chemical', 'conj', 'Chemical']"
"['penicillin', 'streptomycin']","['Chemical', 'prep', 'ROOT', 'conj', 'Chemical']"
"['penicillin', 'terramycin']","['Chemical', 'prep', 'ROOT', 'conj', 'conj', 'Chemical']"
"['streptomycin', 'terramycin']","['Chemical', 'conj', 'Chemical']"
"['penicillin', 'streptomycin']","['Chemical', 'prep', 'ROOT', 'conj', 'Chemical']"
"['streptomycin', 'aureomycin']","['Chemical', 'prep', 'nsubj', 'ROOT', 'Chemical']"
"['streptomycin', 'chloramphenicol']","['Chemical', 'prep', 'nsubj', 'ROOT', 'conj', 'Chemical']"
"['aureomycin', 'chloramphenicol']","['Chemical', 'conj', 'Chemical']"
"['streptomycin', 'aureomycin']","['Chemical', 'prep', 'nsubj', 'ROOT', 'Chemical']"
"['adrenalin', 'noradrenalin']","['Chemical', 'conj', 'Chemical']"
"['adrenalin', 'noradrenalin']","['Chemical', 'conj', 'Chemical']"
"['cobaltous_chloride', 'sugar']","['Chemical', 'prep', 'ROOT', 'prep', 'pobj', 'Chemical']"
"['cobaltous_chloride', 'sugar']","['Chemical', 'prep', 'ROOT', 'prep', 'pobj', 'Chemical']"
"['histamine', 'arsenic_acid']","['Chemical', 'prep', 'ROOT', 'conj', 'Chemical']"
"['histamine', 'dichlorophenoxyacetic_acid']","['Chemical', 'prep', 'ROOT', 'conj', 'conj', 'Chemical']"
"['arsenic_acid', 'dichlorophenoxyacetic_acid']","['Chemical', 'conj', 'Chemical']"
"['histamine', 'arsenic_acid']","['Chemical', 'prep', 'ROOT', 'conj', 'Chemical']"
"['Suramin', 'suramin']","['Chemical', 'appos', 'conj', 'prep', 'pobj', 'appos', 'Chemical']"
"['Proline', 'hydroxproline']","['Chemical', 'conj', 'Chemical']"
"['lactobacillin', 'hydrogen_peroxide']","['Chemical', 'prep', 'ROOT', 'prep', 'pobj', 'Chemical']"
"['D(+)_leucine', 'glycil_L_leucine']","['Chemical', 'prep', 'ROOT', 'prep', 'pobj', 'prep', 'pobj', 'Chemical']"
"['epinephrine', 'nor_arterenol']","['Chemical', 'prep', 'pobj', 'prep', 'ROOT', 'conj', 'Chemical']"
